time_ms,ax,ay,az,gx,gy,gz,elbow_deg,wrist_dev_deg,abduction_deg,trail_len_px,trail_dY_px
1754939629521,nan,nan,nan,nan,nan,nan,,,,,
1754939631036,nan,nan,nan,nan,nan,nan,,,,,
1754939631168,nan,nan,nan,nan,nan,nan,,,,,
1754939631285,nan,nan,nan,nan,nan,nan,,,,,
1754939631368,nan,nan,nan,nan,nan,nan,,,,,
1754939631501,nan,nan,nan,nan,nan,nan,,,,,
1754939631585,nan,nan,nan,nan,nan,nan,,,,,
1754939631668,nan,nan,nan,nan,nan,nan,,,,,
1754939631752,nan,nan,nan,nan,nan,nan,,,,,
1754939631851,nan,nan,nan,nan,nan,nan,,,,,
1754939631935,nan,nan,nan,nan,nan,nan,,,,,
1754939632018,nan,nan,nan,nan,nan,nan,,,,,
1754939632102,nan,nan,nan,nan,nan,nan,,,,,
1754939632185,nan,nan,nan,nan,nan,nan,,,,,
1754939632268,nan,nan,nan,nan,nan,nan,,,,,
1754939632351,nan,nan,nan,nan,nan,nan,,,,,
1754939632435,nan,nan,nan,nan,nan,nan,,,,,
1754939632518,nan,nan,nan,nan,nan,nan,,,,,
1754939632602,nan,nan,nan,nan,nan,nan,160.72380285504383,-14.793045394687324,,,
1754939632768,nan,nan,nan,nan,nan,nan,161.45911286652196,-14.301645213583662,,98.6154146165801,11.0
1754939632901,nan,nan,nan,nan,nan,nan,161.38656472228956,-14.659115564039993,,323.57985625125264,58.0
1754939633018,nan,nan,nan,nan,nan,nan,161.2972983780058,-18.106186112716944,,362.87362166002964,96.0
1754939633151,nan,nan,nan,nan,nan,nan,163.07536872706513,-17.60918115072719,18.799655038921234,559.2940890253224,30.0
1754939633268,nan,nan,nan,nan,nan,nan,167.32343887373452,-17.367707955370385,18.799655038921234,615.9421251783965,83.0
1754939633401,nan,nan,nan,nan,nan,nan,169.0515978052953,-17.15951520612225,18.799655038921234,679.5031195066794,21.0
1754939633505,nan,nan,nan,nan,nan,nan,166.50535756018718,-15.728078168993228,18.799655038921234,805.697414147919,-84.0
1754939633629,nan,nan,nan,nan,nan,nan,164.94734489561696,-13.247451727288741,18.799655038921234,889.4350998097523,-148.0
1754939633753,nan,nan,nan,nan,nan,nan,161.09569742406816,-11.941617122300872,18.799655038921234,968.2069221829842,-217.0
1754939633880,nan,nan,nan,nan,nan,nan,153.68026127132936,-12.59762173228759,18.799655038921234,1045.310748287789,-294.0
1754939634003,nan,nan,nan,nan,nan,nan,148.62559461377992,-14.061896099709747,18.799655038921234,1065.5592050191055,-301.0
1754939634139,nan,nan,nan,nan,nan,nan,145.16685010370674,-10.803231838000956,18.799655038921234,1095.2913425137426,-323.0
1754939634253,nan,nan,nan,nan,nan,nan,145.16685010370674,-10.803231838000956,18.799655038921234,1095.2913425137426,-323.0
1754939634337,nan,nan,nan,nan,nan,nan,141.03609457930503,0.7450953655156898,18.799655038921234,1127.3069637009069,-331.0
1754939634463,nan,nan,nan,nan,nan,nan,141.03609457930503,0.7450953655156898,18.799655038921234,1127.3069637009069,-331.0
